target_sparsity,criterion,mean_test_acc,std_test_acc,mean_val_acc,std_val_acc,mean_actual_sparsity,dense_flops,mean_sparse_flops,mean_flop_savings_pct,num_seeds
0.0,magnitude,0.9758588672237697,0.0034741479914335445,0.9777158774373259,0.006017400834176281,0.0,18944,18944.0,0.0,3
0.0,saliency,0.9702878365831012,0.0034741479914335936,0.9730733519034355,0.008610602131379458,0.0,18944,18944.0,0.0,3
0.5,magnitude,0.9758588672237698,0.00731105652183083,0.9740018570102135,0.006948295982867148,0.5,18944,9571.333333333334,49.47564752252253,3
0.5,saliency,0.9805013927576601,0.004548727470349425,0.9740018570102135,0.010255674110665964,0.5,18944,9446.666666666666,50.133727477477485,3
0.75,magnitude,0.9740018570102135,0.004734465657931999,0.9749303621169916,0.004548727470349425,0.7500520291363163,18944,4796.666666666667,74.67975788288288,3
0.75,saliency,0.9721448467966574,0.008200335066228246,0.9740018570102135,0.004734465657931999,0.7500520291363163,18944,4735.333333333333,75.00351914414414,3
0.9,magnitude,0.967502321262767,0.0026262090294765124,0.9740018570102137,0.006565522573691254,0.9,18944,1922.0,89.85430743243244,3
0.9,saliency,0.9647168059424326,0.00131310451473823,0.957288765088208,0.018523618703119794,0.9,18944,1894.6666666666667,89.99859234234235,3
0.95,magnitude,0.9600742804085423,0.009468931315864033,0.9554317548746519,0.019432172271547192,0.9500520291363164,18944,960.0,94.93243243243244,3
0.95,saliency,0.9526462395543175,0.018616469503958608,0.9285051067780873,0.014797936351447754,0.9500520291363164,18944,948.6666666666666,94.99225788288288,3
